codeswitch_sentence,languages
وتبغى تشوف انت وين تبغى تستثمر you wanna invest in the ip in the software and the hardware,Saudi-English
مثلا الاستثمار فال hardware of video games ولا هذا maybe its not the best thing right,Saudi-English
لانه فيه منافسات ثانية تجي من ال computers من الاشياء الثانية,Saudi-English
فا اكيد انه جالس its ticking all the boxes حقت الرؤية عشرين ثلاثين but at the same time,Saudi-English
it will be one of the best investments بالنسبة لنا كعوائد ايه كعوائد بالتاكيد كعوائد استثمارية فانتوا قراركم استثماري بحت استثما شوف,Saudi-English
لابد يصير استثماري لانه اذا ما صار استثماري its not gonna be sustainable and if not sustainable its مشروع فاشل,Saudi-English
انه يجيك subsidy من الدولة يجيك دعم حيوقف يوم من الايام,Saudi-English
اذا غلبت الروم خلنا نشوف وش الدعم اللي ممكن يجي لكن ما نبتدي تفكيرنا لا ابغى دعم الفلاني والفلاني no it doesnt work that way,Saudi-English
كيف نقدر نسويها efficiently if we cannot lets see وش الدعم اللي ممكن يجي,Saudi-English
والدعم is it مثلا دعم نقدي,Saudi-English
فا و newcastle,Saudi-English
newcastle اسف ابو فيصل هنا الناس تتكلم على اول شيء,Saudi-English
الله يقويكم so بس بشكل عام وش يعني كيف تفسر هذي so كرة القدم يعني زي ما قلت لك الرياضة هي جزء من الثلاث طعشر قطاع اللي,Saudi-English
why the epl ليش الدوري الانجليزي لانه هو اعظم دوري موجود الان فالعالم,Saudi-English
ثلاثة فرق يصير لها relegation وثلاثة فرق يصير لها promotion ناس ثلاث فرق تنزل وثلاث فرق تصعد من الدوري اللي تحته,Saudi-English
منافسة عالية منافسة جدا عالية هذا معناته مشاهدات اعلى بالضبط so,Saudi-English
لما ناظرنا لها نظرنا لها من ناحية مالية and by the way it wasnt the first,Saudi-English
offer يجينا على فريق شفنا في ايطاليا وشفنا في فرنسا,Saudi-English
only ثلاثين فالمية ومالنا اي علاقة فالادارة,Saudi-English
وحنا اشترينا newcastle,Saudi-English
كان معروض علينا مية بالمية لكن اء اللي جابوا لنا الفرصة amanda sevry هي وزوجها,Saudi-English
قالوا we would we like it so much we would like to be with you قلت ممتاز,Saudi-English
بعدين جو الRobin family اللي هم من اكبر المطورين العقاريين قالوا we would like to come with you هم من اكبر المطورين ف newcastle قلت ممتاز,Saudi-English
خلهم يجون فا they have now skin in the game يعني skin in the game صاروا جزء من النجاح ومن الفشل exactly,Saudi-English
شرينا الفريق كامل بثلاث مية وخمسين versus ثلاث مية ثلاثين بالمية بسبع مية اء اء مليون,Saudi-English
versus تشيلسي توه منباع,Saudi-English
is to go from ثلاث مية وخمسين الى على الاقل ثلاثة three point five thats ten times the money,Saudi-English
versus لو اشتريته اليوم كم بيطلع اربعة مليار خمسة مليار,Saudi-English
ما مايجيب لك اقل من مئة فالاختيار استثماري بحت استثماري بحت so thats why one number two newcastle,Saudi-English
newcastle united football club,Saudi-English
يعني معظم المدن فيها اكثر من نادي newcastle كل newcastle وراك,Saudi-English
تسع مئة وخمسين الف تقريبا واكثر من مليون في المنطقة موجودين كلهم fans,Saudi-English
we have now تقريبا between fifty two thousand seats فالملعب,Saudi-English
كلها sold out يعني لما تنظر لها من كل النواحي اللي موجودة ال potinitial اللي موجود عندنا الان مثلا chef of the chefs strategies,Saudi-English
مع ال international,Saudi-English
investments their looking على الاشياء العقارية وال infastructrue اللي بنسويها ان شاء الله,Saudi-English
في المنطقة فال potential,Saudi-English
goin forward للاستثمار الرياضي حقنا,Saudi-English
بتكون صعبة الا اذا اخذنا some incubators يعني اندية اصغر علشان to incubate into this,Saudi-English
مالها حس هل هي متعثرة هل فيها مشاكل وش قصة المحفظة العقارية روشن is doing extremely well overlapping speech روشن تبع ال giga project ماهي تبع المحفظة العقارية,Saudi-English
انا اتكلم مثلا على تطوير وسط المدن نتكلم عن رؤى الحرم المكي نتكلم روشن ترا بدت هناك وانتهت هناك وكبرت راحت هناك كانت لانه الاول ال mandate حقها كان اقل بعدين كبر ال mandate,Saudi-English
فانتقلت فانتقلت الى ال giga projects بالنسبة للمحفظة العقارية,Saudi-English
فيه عندنا مشاريع كثيرة فال pipeline,Saudi-English
وقت طويل فال planning خاصة if you want to have the right,Saudi-English
models وال right plans وكيف تقدر,Saudi-English
تخلي ال plans,Saudi-English
فاذا تبغى تطورها هناك كيف تقدر تطورها ايش هو ال proposition تخلي المدن والقرى اللي حولها يجون لها,Saudi-English
same thing مثلا في نجران,Saudi-English
انعرض كذا موقع ومواقع هذي مثلا وزارة البيئة كانوا يبونها وزارة وزارة اخرى كانوا يبونها فا it takes time,Saudi-English
علشان تاخذ ال logistics هذي and it takes time to find right design,Saudi-English
and the right proposition بالنسبة لل انها تخليها,Saudi-English
how can we modernize الطراز السلماني,Saudi-English
design غيرنا كثير من ال ال designers اللي ممكن يجون ولهم خبرة مناسبة,Saudi-English
و the same thing is applicable مثلا لي اللي بنسويه في الخرج اللي بنسويه في القطيف اللي بنسويه في مكة,Saudi-English
يعني ok maybe it looks good بس,Saudi-English
فا yeah هذي الاشياء تاخذ وقت بعدين,Saudi-English
يوم تشتغل مع ال designers مع المهندسين it takes time يعني هذا الاشياء يعني i will give you an example اللي هو كافد,Saudi-English
it was supposed to be delivered في الفين واثنعش الى الان its not fully operational,Saudi-English
طريقة ال planning كانت,Saudi-English
يعني تشوف العماير اللي موجودة ok the on الشيء الواصل الوحيد بينها اللي هي الجسور الجسور اللي موجودة بس ما,Saudi-English
يعني لما تجي على ال efficiency اللي موجودة في بعض العماير,Saudi-English
تلاقيها اقل من خمسين بالمية ال efficiency اللي هي,Saudi-English
ال average فالعالم مابين خمسة وسبعين الى خمسة وثمانين بالمية,Saudi-English
في اقل من خمسين اقل من خمسين yeah,Saudi-English
فهذي امثلة على انه عدم التخطيط الكافي عدم التخطيط يؤدي الى هذي yeah يؤدي الى نتائج يعني اكارثية وتطول اكثر من لو اخذت وقتك فالتخطيط exactly فا حنا we dont mind انه ناخذ,Saudi-English
as long as انه التنفيذ عندنا بيكون,Saudi-English
طبعا فيه عندك الخطوط السعودية وفيه flynas وفيه كذا شركة خاصة للخطوط,Saudi-English
الخطوط السعودية بالشركات الخطوط العالمية المتقدمة مثل الان كان singapore air,Saudi-English
وبعدين جات طبعا ال emirates الاماراتية,Saudi-English
نقطة الخلاف الاساسية اللي هي one hub,Saudi-English
ولا multiple hubs,Saudi-English
الخطوط السعودية المفروض عندها three hubs,Saudi-English
اذا تبغى تنجح لازم يكون عندك one hub,Saudi-English
وبعدها يعني direct flight مثلا من الرياض نفرض ان الخطوط بتكون ال hub حقها الرياض,Saudi-English
بس ما تقدر تجي مثلا من عرعر الى نيويورك direct,Saudi-English
او من عرعر الى عمان direct يمكن بس,Saudi-English
افضل انه يكون عندك one hub,Saudi-English
so الخطوط اللي بتكون موجودة its one hub,Saudi-English
ال fleet اللي بيكون موجود,Saudi-English
فا علشان تقدر يكون فيه عندك efficiency للطيارين قطع الغيار exactly الصيانة نفس الشيء ال catering everything else,Saudi-English
going back لل methodology اللي احنا عادة نتبعها فالصندوق,Saudi-English
وهذا اللي جالسين نسويه وفيه ناس تقول طيب ليش ما صلحتوا الخطوط السعودية ليش ما استثمرتوا فيها وانطلقتوا من هناك الخطوط السعودية جالسة its serving what a يعني الاشياء اللي موجودة,Saudi-English
لكن again the business model حق الخطوط السعودية,Saudi-English
اللي هي ال multi multi hub,Saudi-English
الخطوط الامريكية معظمها متعثرة because عندهم multi hub,Saudi-English
فا هي الخطوط الجديدة حتكون من الرياض single hub,Saudi-English
فئة business ولا فئات يعني it depends on the demand طبعا you cant have طيارة كلها business يعني سوتها الظاهر,Saudi-English
فا i i dont think its the right propositionمتى متوقع انطلاقها,Saudi-English
yeah والمطار ال خلاص ال,Saudi-English
ال ceo جاينا ان شاء الله خلال شهر او,Saudi-English
and they dont have to be سعوديين فقط,Saudi-English
softbank يمكن هو من اكثر الاستثمارات المثيرة,Saudi-English
واللي ذكر في لقاء مع david,Saudi-English
كنت تقول انك rubenstein ايه كنت تقول انك مبسوط لانه حققوا لك تسعة مليار,Saudi-English
دولار عوائد في ذيك اللحظة yeah,Saudi-English
بعد الخساير اللي قاعد يمنى بها الصندوق yeah ال يعني لما,Saudi-English
softbank vision fund let me just take maybe few steps back ياليت بس اعطيك some context,Saudi-English
كيف دخلنا فا softbank,Saudi-English
so اتذكر يعني من ال sessions اللي كنت اجلس فيها مع سمو ولي العهد,Saudi-English
نتكلم عن ال aspirations اللي موجودة وش نبغى نسوي فالصندوق,Saudi-English
فا كان he was always referring ل يرجع يقول,Saudi-English
نبي نكون فال artificial intelligence الذكاء الاصطناعي نبي نكون فال robotics,Saudi-English
نبغى نكون فال life science,Saudi-English
نبغى نكون فال internet of things,Saudi-English
هذي الاشياء الاساسية لانه هذي التوجهات المستقبلية,Saudi-English
حنا again يعني يمكن انت تكلمت قبل كذا على الاقتصاد القديم والاقتصاد الجديد,Saudi-English
it happened انه قابلت تقابلت انا مع sama masa son,Saudi-English
اغنى رجل فالعالم back in nineteen ninety nine بضع ساعات,Saudi-English
خسر تقريبا ninety seven percent of ثروته ورجعها في استثماره علي بابا,Saudi-English
so masa تكلم عن الرؤية حقته وقال im gonna put,Saudi-English
ثمانية وعشرين مليار بيحطها دولار في fund,Saudi-English
اللي هي internet of things robotics,Saudi-English
artificial intelligence مفصلة عليكم and life science,Saudi-English
قلت له ok وبدا يتكلم هنا وهنا,Saudi-English
فا تكلمت مع الامير قلت له i have this guy who i met before و i met him في في طوكيو,Saudi-English
اذا مافيه عندك مانع تشوفه قال ok ممتاز,Saudi-English
so جاء شافه,Saudi-English
الامير يعني مرة قال ok,Saudi-English
is forty five billion what you want احنا نستثمرها,Saudi-English
ليه قال الامير هذا الشيء على الرؤية thats one,Saudi-English
number two كنا جالسين نتكلم نبغى نستثمر,Saudi-English
كيف نقدر نوصلها ثلاثين بالمية by the way الحين نزلناها الى range between twenty to twenty five,Saudi-English
no singal asset manager موجود اليوم,Saudi-English
فهذا من الاسباب الاساسية اللي اللي دخلنا فيها مع softbank vision fund,Saudi-English
they are not doing as good as,Saudi-English
ال proposal اللي كان موجود وبالتاكيد مع انخفاض الاسواق العالمية الان,Saudi-English
ال performance حقهم اقل و اتذكر انك قد طلعت اظن financial times كانت تقول بانه,Saudi-English
استثمار السعودية فال vision fund,Saudi-English
ايه وفيه so we invest in two things,Saudi-English
فال preferred وفال equity,Saudi-English
ال preferred فيه عندنا سبعة بالمية,Saudi-English
بس we dont take the upside يعني هذا بس المضمون,Saudi-English
والباقي يكون فال equity ال equity فال تعرف كم التقسيمة تقريبا وش اكثر ماكنت غلطان هي خمسة وعشرين خمسة وسبعين,Saudi-English
او ثلاثة وثلاثين ستة وستين im really not sure بس وش الاكثر,Saudi-English
الاكثر اللي هو المضمون ال preferred yeah اه ok فانتوا صار لكم خمس سنوات تاخذون هذا ال النسبة الثابتة yeah,Saudi-English
ok و في القادم من الايام شفنا انه ما تكررت التجربة وصرتوا انتوا تروحون تستثمرون بشكل مباشر,Saudi-English
ل نظرا لانه ما كانت مجدية ماهي مرضية no no شوف,Saudi-English
يوم when we started كان عدد الموجودين في صندوق الاستثمارات العامة يمكن مية مية وخمسين شخص today were like,Saudi-English
and by year end will be over two thousand i think,Saudi-English
اضافة لذلك our direct investment اليوم افضل بكثير performance حقها,Saudi-English
اليوم عندنا office in new york office في london,Saudi-English
office في hong kong so this will give us access,Saudi-English
لل deal flow,Saudi-English
will give us access لل الناس بيكون موظفين طبعا من الصندوق اضافة لموظفين,Saudi-English
and to be active فال investments هذي,Saudi-English
متى نقدر نشتري سياراتنا فالرياض lucid,Saudi-English
موجودة بس ما تنباع لسا الا جبنا كم so المشكلة الاساسية في,Saudi-English
فيها وطبعا its a listed company ماقدر اعطي تفاصيل عنها اكثر لكن على حسب,Saudi-English
المعلومات العامة متاخرين كثير فالانتاج متاخرين على شان ال supply chain,Saudi-English
there still يعني جالسين يتعاملون مثلا lucid كلها قزاز صح,Saudi-English
يعني من ذا ال one shield من قدام ومن وراء والسقف,Saudi-English
so الناس اللي يقدروا يسووا هذي الخدمات قليلين,Saudi-English
and فيه ال quality assurance مشاكل فيها يعني لازم تكون كل شيء hunderd percent عشان لا يصير لها recall ولا ذا,Saudi-English
غيرت كثير من ال processes والانظمة حقتهم,Saudi-English
فهذي كل الاشياء لما تجتمع مع بعض تخفف الانتاج and what im hopping for,Saudi-English
what am hopping for انه to achieve at least numbers اللي اعلنوا عنها,Saudi-English
all the incentives اللي جت من جهات عديدة من الحكومة,Saudi-English
فال lucid air اللي هو اللي موجود حاليا,Saudi-English
لكن eventually we wanna do suvs لانه نبغى السيارات اكثر,Saudi-English
بس عشان وقت وقتك ماودي اننا نطول عليك you had access i think فهد سيف already طلع معك صحيح,Saudi-English
بس طلع بالقبعة القديمة اما معانا بالقبعة القديمة القبعة الجديدة يعني نتشرف انك اول ضيف من الصندوق الله يسلمك شركات الصندوق يعني شرفونا,Saudi-English
وندخل في تفاصيل شركاتها عشان هم فقط اثنين نواب لكن كلهم من the same level ممتاز اي يعني الاخرين chef of staff,Saudi-English
مدير الاستثمار العقاري وال giga projects cfo coo فهل هذا توجيه مباشر لهم,Saudi-English
انهم yeah بالتاكيد يشرفوننا بالظهور بالتاكيد ابو عبدالعزيز اول واحد بالتاكيد اء طيب انا بختم ابو فيصل,Saudi-English
what i didnt learn هو يعني وش الاشياء اللي ماتعلمتها الصراحة يعني تعلمت منه الكثير,Saudi-English
اء يمكن انا فالسن اكبر من سمو الامير لكن تعلمت منه الكثير,Saudi-English
and امم,Saudi-English
what i liked about him ماهو بس المعلومات اللي عنده,Saudi-English
its ما يعني فيه ناس يقولك ok هذا المعلومات اللي عنده سطحية ال depth اللي موجود فالمعلومات,Saudi-English
يعني even i was discussing with him once على,Saudi-English
ال golf he was talken to يعني he knew about golf كل مضرب كيف الزاوية حقته ومن الكلام ذا,Saudi-English
he knows very well على,Saudi-English
ال اء ال design,Saudi-English
يشوف the macro كيف يقدر ينزل لتحت,Saudi-English
اذا احتاج الامر انه يشوف ال macro,Saudi-English
اذا الكلام حقه crap يقولوا له انه كلامك crap ماهو بصحيح,Saudi-English
same thing is extricular نفس هذا صار صار الموضوع هذا عندي اكثر,Saudi-English
regardless الشخص اللي اتعامل معاه,Saudi-English
بعيد قريب عزيز غير ذلك i have to listen للشخص اللي قدامي,Saudi-English
الواحد يتوقع انها صغيرة بس once you operate all together,Saudi-English
يكون الواحد اكيد الواحد sometimes المفروض يكون عاطفي لكن افضل انه يكون,Saudi-English
rational وعقلاني اكثر هذي من الاشياء اللي تعلمناها يعني انا و,Saudi-English
كيف الواحد يكون rational اكثر,Saudi-English
ال capacities اللي موجودة عندك,Saudi-English
on how you can utilize it كيف تقدر تستخدمها,Saudi-English
فا هذا من الاشياء اء كيف الواحد يقدر يرتب ال priorities,Saudi-English
ترتيب ال priorities جدا مهم وش ال الاولويات,Saudi-English
لما صرت اشتغل معه كيف الواحد to see the big picture,Saudi-English
you dont go sometimes يعني مثلا من ال الاشياء اللي تفشل كثير,Saudi-English
من ناس متعلمين وذوي خبرات كبيرة اللي هي going,Saudi-English
to much on the details and forgetting about the big picture,Saudi-English
لازم يكون فيه عندك زي عدسة zoom,Saudi-English
ثلاثة مليار ثلاثة ترليون دولار by twenty thirty هذي نبغى نثبتها وناكدها,Saudi-English
اول شيء الفلوس دخلت فالحساب الشركة مو حساب اح مو حساب احمد شوي شوي جاء لاحمد فيه شوية exit والا ما حنعلم بس فيه شوية جاء اوكي و و طبعا اء,Saudi-English
اء يعني بداية خلنا نقول foodics كانت,Saudi-English
اء ميزتها الاساسية انها عاصرت مراحل قبل ال الرؤية وبعد وبعد الر ما قبل الرؤية وقبل eco system او او منظومة,Saudi-English
و وما بعدها فا فنقدر نشوف ايش الاثر والفرق yes اللي اللي يحدث عليكم فاللي ابغاها منك او اللي,Saudi-English
التعرف على مصعب yes وهذي نستعرضها بشكل سريع بعدين نروح لمرحلة ال ok,Saudi-English
اء ولادة foodics كا software فهمت عليك كيف صارت ايش ال ايش كان وقتها ok يقدم ايش مشاكله,Saudi-English
ثمن مرحلة اليوم اللي هي التوسع التوسع اللي ممكن يكون عبر استحواذات yes yes او توسع جغرافي او الى اخره بالضبط,Saudi-English
و ولادة الفكرة والتعرف على مصعب اللي هو شريكك ok,Saudi-English
ايام ما كنت individual انزل اعلان بميتين ريال انه اصنع تطبيقك,Saudi-English
ب بكذا ريال وكنت تعرف تبرمج وانا كنت ابرمج واصمم واسوي كل شيء يعني كنت full stack وقتها يعني ايه,Saudi-English
coffee بسويه كم جاك على الاعلان هذا من من شخص يعني ط,Saudi-English
وعشرة بالمية منها كان فعلا serious اء يبون يطورون تطبيق,Saudi-English
و وهنا واحد منهم كان يبي يسوي coffee ورحت له,Saudi-English
و وقال لي احمد شوف تطبيق starbucks ابي اسوي زيه,Saudi-English
قلت له ابد اتفقنا على السعر دفع لي down payment وبديت اشتغل على التطبيق,Saudi-English
وقتها كنت انا ومصعب نذاكر فال فال coffee shops زي اي طلاب فالجامعة,Saudi-English
مصعب هو مصعب الشريك المؤسس ايه الشريك هو ال rommate هو ال rommate,Saudi-English
مو rommate يعني هو ال rommate مصعب يعني محمد ابو عبيدة بس باقي ما وصلنا له اه بس انكم في نفس الدفعة ايه نفس الدفعة كلنا تمام,Saudi-English
بعدين اء كنا انه غالبا كانوا يس يعطونا ال menu ورقي,Saudi-English
وكان اذا بيغيرون الاسعار يحطون sticker على السعر طريقة غير,Saudi-English
تعطيه للمطعم بطريقة انيقة و و cost effectint يعني انك ما تحتاج تطبع,Saudi-English
كل ماتبغى تغير ال menu عندك ال portal,Saudi-English
ودخلته في موضوع ال menu ايه وصار عندكم,Saudi-English
ipad ipad تطلب منه بس بس,Saudi-English
وطابعة جنب ال point of sale,Saudi-English
ياخذ الطابعة يدخلها مرة ثانية point of sale اللي هو اللي هو نظام نقاط البيع نقاط البيع ال casher يدخلها ال casher,Saudi-English
هنا لقيت فيه gap,Saudi-English
ال gap انه ليش,Saudi-English
ما اربط ليش ما الطلب يروح من ال,Saudi-English
ال ipad الى الى ال casher,Saudi-English
يعني اطبعها با prienter واعيد كتابتها كتابتها,Saudi-English
فبديت اخاطب شركات ال point of sales ما احد عطاني وجه,Saudi-English
فقلت you know what lets build it مين اشهرهم في ذاك الوقت,Saudi-English
micros اء omega شركات كلها شركات نقاط بيع ايه كلها اجنبية يعني ايه,Saudi-English
السطحية انه اء ال casher هو calculator,Saudi-English
وش هو حاسبة انا فالجامعة كنت ابرمج برنامج يطلع لي calculator فعادي,Saudi-English
فا فبديت اشتغل وقلت لك انا اء بديت اشتغل على على ال point of sale,Saudi-English
ال ال بناء ال casher,Saudi-English
ال ال خلنا نقول ال ال ordiring system menu ordiring system,Saudi-English
اللي عندهم already ال التجربة الحلوة اللي هو,Saudi-English
لل لل اء ال customers بس لحظة قبل انت الحين موضوع ال menu هذا بعته,Saudi-English
ايه بعته الناس اخذوه ايه يشترونه عشان نظام الطلب نظام الطلب بس menu حلو menu حلو ايه بعته يمكن,Saudi-English
بعطيك casher جربه عشان الربط يكون موجود واحسن لك التجربة,Saudi-English
وش هال calculator حقتك خذها,Saudi-English
و ورجعت له خلني اقول ال point of slae او literally شرينا point of sale جديد له,Saudi-English
انا بعطيك فانت عوضته عوضته ok نظام اء يعني من الانظمة الموجودة كانت بالسوق,Saudi-English
وهنا وقتها بديت ابي اتعلم وش هو ال point of sale,Saudi-English
اء مجتهد شاد حيلك شاد حيلك اء tech شيء زي كذا,Saudi-English
اء انا انا حاس انه اقدر اطور لك ال الك ال ال نظام الطلبات عندك ويصير online,Saudi-English
وفعلا وقتها بديت اكلم شركات نقاط البيع وال casher تعالوا اعرضوا خدماتكم علي,Saudi-English
اء نقاط البيع وال casher واعرضها على فريق العمل مصعب والشباب ادرسوا وش هال,Saudi-English
point of sale هذولي هم يفترض منافسينك المستقبليين ايوه,Saudi-English
تاخذها انت بالضبط تسهرون انت وال team تحاكونها تسوون شيء مماثل بالضبط بالضبط,Saudi-English
اء يعني اذكر فعلا انها انه كنا يعني ما ننام يعني this is انا اذكر كل اصحابي,Saudi-English
اء حتى اذكر مصعب ماخذ شقة فوق نفس ال building يعني اوه كلنا عايشين,Saudi-English
و الى الحين ما فيه شيء اسمه foodics,Saudi-English
ماكان اسمه foodics حلو كان كان part من الوانز الشركة,Saudi-English
كيف سوينا foodics قلنا هنا وقتها حسينا انه فعلا فيه point of sale وبديت ابحث انا,Saudi-English
في فال online انه فيه شركات فامريكا وفيه تقنية اسمها cloud computing cloud point of sale,Saudi-English
و و ال application درست ال useage والعملاء اللي فيهم وكيف,Saudi-English
فا سو بناء على هالتجربتين هذي دمجتوا موضوع الطلب الطلب وال casher مع بعض,Saudi-English
وطلع foodics طلعت foodics مين اول عميل ل foodics,Saudi-English
اول عميل كان كافيه اسمه bili cafe,Saudi-English
يعني شل مطعم عطيته ال application وكان وقتها عنده واحد من الانظمة القديمة ايه المنافسة,Saudi-English
ايه كان جديد brand new هو فاتح ال coffee جديد وكان lounge و جدا ممتاز توه مركب نظام جديد,Saudi-English
واللي ما عنده انظمة هاه لسى معتمد علي هو جاء عندي اخذ ال applications ويبي يشتري ال point of sale,Saudi-English
point of sale كان اسمها omega,Saudi-English
اذا ما حاولت اكلمهم ما ما ماحد عطاني وجه او اصلا نفس ال technology is not capable to do this integration مع بعض,Saudi-English
لا كان نظام ال menu مو نظام ال casher ايه كان انا ابيعه ال menu,Saudi-English
ال casher بس احنا قلنا خلاص انتوا طورتوا شيء يدمج الاثنين,Saudi-English
المطور بال foodics المطور هو اء المطعم ال cafe اللي تحت والحلويات ايه كانت lazorde و fergenano,Saudi-English
هذا اول عميل ل foodics هو اول عميل بنظام اللي هو طلب و casher yes yes وايش الشيء اللي,Saudi-English
كان نظام casher نظام مستودعات كان نظام طلب ال menu,Saudi-English
ادارة ال menu واسعار ال menu ال recipes ال ingredients,Saudi-English
كان the modifiers انه اذا تبي مع حليب مع زيادة,Saudi-English
سكر whatever و,Saudi-English
نظام ال ال ال menu application ال menu كان وقتها,Saudi-English
يتعدل يعني تعدل فال dashboard حق foodics ينعكس على ال ipad,Saudi-English
اء كم عميل بعت له يعني في اول سنة من foodics بشكله الجديد هذا,Saudi-English
foodics بس باسمه الجديد بعته لعشرة بالضبط,Saudi-English
اء تعالجوا المشاكل تطورون فيه طبعا فيه نقط فيه يعني ما فيه كان challenge كبير الناس مو متقبلين فكرة اني,Saudi-English
رصيدك اللي فالبنك كل موظفين البنك يقدر يعني انهم access limitation,Saudi-English
هاه وهذا cloud نظام cloud وسحابي و online والحياة حلوة شوف انت تقدر تحول فلوسك يعني كنت اقنعهم من هالجانب,Saudi-English
case study من برا اقولهم شوفوا هالشركة في امريكا وش اشهر في هذا نفس تقدم نفس هذا الحل,Saudi-English
كان فيه شركة اسمها rifle rifle في امريكا,Saudi-English
وكانت two square طبعا في امريكا كل هذي الشركات كانت,Saudi-English
بنفس وهذي المرحلة الى اول عشرة عملاء من foodics بشكلها الجديد,Saudi-English
شركة الوانز الوانز اللي هي الوانز اللي هي software house,Saudi-English
تقدمون خدمات للغير ومشاريع ومشاريع تاخذ فلوس وتحرقها في foodics احرقها في foodics ماتجيب فلوس لسا,Saudi-English
ال ال mass صراحة يوم دخلنا الرياض حلو ايوه هذا يوم دخلنا الرياض هذي المرحلة اللي الان بدخل فيها نعم,Saudi-English
يعني snack بسيط على الطريق شفنا فمحل burger شكله نظيف ومرتب دخلت عليه اء,Saudi-English
و وطلبت وشفت ال point of sale اللي عنده وانا عندي هل,Saudi-English
ترا انا عندي نظام احسن من نظامكم اللي انتم مستخدمينه فا اء وكيف اقدر اتواصل مع ال owner او المالك,Saudi-English
اء قال عطني رقمك وبتواصل مع ح كتبت رقمي وال domain حق الشركة,Saudi-English
يعني كتبت رقمي و foodics dot com ومشيت,Saudi-English
يعني اء خبيت المعلومة هذي من من مصعب وال team,Saudi-English
و و لاني انا كنت شايف انه فيه challenge و literally ترا عشان نبيع لبرجرايزر,Saudi-English
حنا مسحنا ال code كله وسوينا code جديد,Saudi-English
لانه برجرايزر كان يستخدم نظام كبير يعني عالمي اسمه كان aloha ncr,Saudi-English
ال model يعني هذا qsr هذا quick service restaurant ماهو,Saudi-English
اء المطاعم اللي بعناها اغلب المطاعم اللي بعناها coffee shop coffee shop انك تجي تجلس experience مختلف,Saudi-English
ال ال quick service سرعة الطلب وفيه شيء اسمه kds نظام المطبخ,Saudi-English
وفيليه staging ترا level جديد هذا وص و foodics وصل لمر يعني,Saudi-English
يمكن الين الفين وسبعطش foodics وصل الى خلنا نقول الكمال يعني احنا,Saudi-English
ok عشان الدعم الفني ويكون عندي هذا ال الهاجس اقنعتهم وخذوا هم foodics ايه,Saudi-English
انا عندي business وعندي شركة و ابي مكتب,Saudi-English
يعني بادر كانوا رهيبين صراحة يا سلام فنفس اليوم مكتب واو دخلت لقيت كذا lounge,Saudi-English
اء طبعا اخذت هذا كا كا selling point,Saudi-English
انه ترا يا برقرايزر انا مكتبنا جنبكم جنبكم يعني اعتبروني ال it department,Saudi-English
في اء انت انت you need to manage expectation,Saudi-English
يبي يتعامل يبي confident انه ليش يحول لك انت,Saudi-English
شركات كبيرة يعني انت تتق اليوم سوي لك start up وادخل لشركة كبيرة,Saudi-English
يعطيك ثقة يعطيك احترام صح yeah start up انا اعطيك اهتمام وقتها,Saudi-English
و ولا مو ال domain اللي انا اس انا فيه domain حساس,Saudi-English
يعني انا bottle nick لل business,Saudi-English
اذا الفلوس كلها من ال point of sale يعني انا مو,Saudi-English
tryin error يعني يلا خلني اجرب هال apllication ضبط ضبط انا ماضرني شيء لا انا point of sale is a core business بالنسبة لي انا,Saudi-English
اذا اذا بغيره لازم ثقة تمام,Saudi-English
حسيت انه هم عندهم challenge من ناحية تغيير ال point of sale لانه حاطين investment عليه,Saudi-English
ال poi اء online orders يعني اعطيكم apllication,Saudi-English
لكم انتم ما شاء الله interpri عندكم ثمانطعشر فرع ليش ما يكون عندكم application,Saudi-English
اء تطلبون الطلب online كان فعلا في اجندتهم انه يكون عندهم applica قلت لهم انا بسوي لكم اياه ولكن,Saudi-English
realquist لازم ال point of sale يكون cloud يكون capable,Saudi-English
انه ياخذ الطلبات و integrate مع ال application فا قالوا اء يعني صار ال deal انه,Saudi-English
اء ناخذ foodics بس سوي لنا اء ال ال application,Saudi-English
وفعلا اخذنا roll out يمكن سنة سنة كاملة,Saudi-English
احنا يعني نحاول ناخذهم ال point of sale نسوي mapping لل features اللي عندهم ال features اللي عندنا,Saudi-English
ثمانطعشر فرع sorry اء وهذا ال features اللي تحتاجه قال,Saudi-English
ال بناء foodics بناء ال foodics من جديد اوه وهنا فعلا اطلقنا عليه foodics one,Saudi-English
يعني هو f one الحقي الحقيقي يعني كل الماضي كان,Saudi-English
ماهو foodics اصله يعني foodics نسخة صفر سميناها,Saudi-English
بعنا لهم foodics و الحمدلله كان فعلا باب لدخول الرياض,Saudi-English
لانه دخلنا على ال quick service restaurant عالم ال المطاعم السريعة الخدمة السريعة,Saudi-English
اء الحمدلله اصلا دخولنا في انه حنا عندنا هال applications اللي يقدر تربط مع,Saudi-English
شركات التوصيل كان برضو ال selling point,Saudi-English
وبعد برقرايزر صار فيه نمو ب f one او yes foodics one وصلتوا لكم,Saudi-English
كان يقولك انا اسف توني دافع لي صح ستين الف ريال ومركب software,Saudi-English
فانت جيت قلت له انا ادفع لك قيمة ال software كامل واركب لك صح بس لازم تستخدم نظامنا,Saudi-English
فعلا ابيع كيف ابني brand فالسوق,Saudi-English
و ومعليش انا في قطاع p to p its a word of mouth يعني,Saudi-English
فقلت بديت اشوف و i need to target ال brands اللي فعلا,Saudi-English
